Halal Food Sydney (HFS) - Butchers,,,,,,,
,,,,,,,
Please list any Halal butchers (stocking handslaughtered meat) below.,,,,,,,
"Currently, the only hand-slaughtered meat suppliers in Sydney are Giglios, Fresh Poultry, and Mohammed Amin (MAM 100% Halaal).",,,,,,,
"Please list any potential issues (eg mixed meat supply, cross-contamination risk with non HS meat, etc), as well as any relevant documentation, in the 'Notes & other enquiry details' column.",,,,,,,
,,,,,,,
Butcher Name,"Contact Details
(Address, Phone, Website)",Status,Supplier,Last Contacted,Notes & other enquiry details,Coordinates,State
Aashyana Halal Butchery & Cuisine,"57 Bulolo Dr, Whalan NSW 2770",Confirmed - Halal,Giglios,,Confirmed by several local community members.,"(-33.7543819, 150.8098721)",NSW
Abu Ahmad Butchery,"236 The Boulevarde, Punchbowl NSW 2196",Pending Review,Fresh Poultry,,,"(-33.9259923, 151.0561079)",NSW
Ahmed Chami Halal Butchery,"5 The Boulevard, Lakemba NSW 2195
02 9750 3973",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9186838, 151.0817773)",NSW
Al Baraka Quality Meats,"240 Lady Cutler Ave, Bankstown NSW 2200",Potential Issues,,,"Supplied by ""Fresh Poultry 2 U"", not Fresh Poultry - M.O.","(-33.9188932, 151.0760432)",NSW
Al Raheem Halal Butchery,"4/100 Queen St, Campbelltown NSW 2560",Confirmed - Halal,Fresh Poultry,15/8/2023,On FP App 15/8/2023. Confirmation of meat required.,"(-33.72660219999999, 150.8844991)",NSW
Al Sultan Butchery,"30 Haldon St, Lakemba NSW 2195",Pending Review,FP & other supplier,,Reputed to sell HS but confirmation of supplier required.,"(-33.8489791, 151.0317424)",NSW
Al-Madina Halal Meats,"2/6 Douglas Road, Quakers Hill NSW 2763
02 8678 8087",Verified - Halal,Fresh Poultry,15/8/2023,On Fresh Poultry App - 7/5/2023. Nyngan for red meat.,"(-33.9310782, 151.0633067)",NSW
Al-Rahman Halal Butchery,"164 S Parade, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,,
Apni Dukaan Australia,"1223 Canterbury Road Punchbowl, NSW 2196
1300 385 226",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9028092, 150.8690422)",NSW
Bismillah Butchery and BBQ Supermarket,"166 Haldon St, Lakemba NSW 2195",Confirmed - Halal,Fresh Poultry,15/8/2023,On FP App 15/8/2023. Confirmation of meat required.,"(-33.8930556, 151.0613889)",NSW
Brothers Butchery,"4/172 Green Valley Rd, Green Valley NSW 2168",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.7658672, 150.8263305)",NSW
Darwich Butchery,"77 Haldon St Lakemba, NSW 2195",Verified - Halal,Fresh Poultry,,Fresh Poultry App + Owner verified - M.O. Meat is still sourced from Cowra Meats which is a concern,"(-33.8532994, 150.9858773)",NSW
Darwich Meats,"Chullora Marketplace 355 Waterloo Rd, Greenacre NSW 2190",Potential Issues,,,"Supplied by ""Fresh Poultry 2 U"", not Fresh Poultry - M.O.","(-33.8522689, 151.0314775)",NSW
Dunya Butchery,"5/11 Zoe Place, Mount Druitt NSW 2270
02 9832 3012",Potential Issues,Fresh Poultry,,On Fresh Poultry App - 7/5/2023. Update: no longer gets from FP (app + call with FP) A.A.S,"(-33.9500226, 151.126412)",NSW
Farm Fresh Halal Meat & Grocery,"3/33 Garfield Rd E, Riverstone NSW 2765",Confirmed - Halal,Fresh Poultry,,Confirmed by several local community members.,"(-33.8336002, 151.0107872)",NSW
Foodworks,"2/302-304 Railway Terrace, Guildford NSW 2161",Pending Review,,,Reputed to sell HS but confirmation of supplier required.,"(-33.8227017, 151.0084037)",NSW
Freshworld Markets,"6/6-10 Harrow Rd, Auburn NSW 2144",Pending Review,Fresh Poultry & Giglios,,Reputed to sell HS but confirmation of supplier required.,"(-33.8153937, 150.9717033)",NSW
Ghazi Butchery,"382 Forest Rd, Bexley NSW 2207
0410 645 859",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.7547535, 151.2842766)",NSW
Granville Family Butchery,"30 South Street, Granville NSW 2142
02 9637 5443",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8542587, 150.9869006)",NSW
Green Farm Meats,"1/55 Marion St, Harris Park NSW 2150",Verified - Halal,Fresh Poultry,15/8/2023,"Company Website FAQ - claims that they are supplied by Fresh Poultry, but not listed on the app.
Receipts of FP supply on HFS Chat. Also on app.","(-33.8869972160543, 151.12541669316252)",NSW
Green Farm Meats,"Shop 13 326 Great Western Hwy, Wentworthville NSW 2145",Pending Review,,,Reputed to sell HS but confirmation of supplier required.,"(-33.8540744, 150.9872641)",NSW
