Halal Food Sydney (HFS) - Restaurants,,,,,,,
,,,,,,,
Please list any Halal restaurants/caterers (with handslaughtered meat supply) below. ,,,,,,,
"Currently, the only hand-slaughtered meat suppliers in Sydney are Giglios, Fresh Poultry, and Mohammed Amin (MAM 100% Halaal).",,,,,,,
"Please list any potential issues (eg mixed meat supply, cross-contamination risk with non HS meat, serves alcohol, halal on request, etc), as well as any relevant documentation, in the 'Notes & other enquiry details' column.",,,,,,,
,,,,,,,
Restaurant Name,Address,Status,Supplier,Last Contacted,Notes & other enquiry details,Coordinates,State
"1919 兰州牛肉面
(1919 Lanzhou Chester Hill)","20/1 Leicester St, Chester Hill NSW 2162",Confirmed - Halal,Giglios,15/8/2023,"Giglios Chicken, Nolan for meat, no wine used as part of the ingredients.","(-33.88221085277635, 151.00199083799734)",NSW
A1 Pizza,"45 Rawson St, Auburn NSW 2144
02 8386 8646",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8498385, 151.0349911)",NSW
ABC Biryani and Karahi,"45 Rawson St, Auburn NSW 2144",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8498385, 151.0349911)",NSW
Afghan Royal Restaurant,"Dumaresq St, Campbelltown NSW 2560",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-34.0695243, 150.814342)",NSW
Al Beik Crispy,"217 Miller Rd, Bass Hill NSW 2197",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8890911, 150.9924136)",NSW
Al Manara Restaurant,"143 Haldon St, Lakemba NSW 2195",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9220081, 151.0787404)",NSW
Al's Fried Chickens,"239 Wollongong Rd, Arncliffe NSW 2205",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9417976, 151.131604)",NSW
Alwaha Eatery,"170 Clyde St, South Granville NSW 2142",Potential Issues,,,No longer stock chicken from Fresh Poultry,"(-33.8473194, 151.012446)",NSW
Arabian Lebanese Restaurant,"82 Waldron Rd, Chester Hill NSW 2162",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8833203, 151.0041795)",NSW
Biryani Corner,"39 Rochester St, Homebush NSW 2140",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8675596, 151.0842787)",NSW
Blaze Charcoal Chicken,"3-11 Chester Hill Rd, Chester Hill NSW 2162",Potential Issues,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023
Chicken supply is not exclusively FP.","(-33.8842433, 151.0008424)",NSW
Blazin Grillz,"188 Waldron Rd, Chester Hill NSW 2162",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.8827907, 150.9993605)",NSW
Blazin Grillz,"230 Macquarie St, Liverpool NSW 2170",Verified - Halal,Fresh Poultry,,On Fresh Poultry App - 7/5/2023,"(-33.9228199, 150.923997)",NSW
Bosphorus Turkish Restaurant,"321/5 Footbridge Bvd, Wentworth Point NSW 2127",Verified - Halal,Fresh Poultry,,"On Fresh Poultry App - 7/5/2023   
Chicken Kebab meat also hand-slaughtered as of Feb 2023","(-33.8254899, 151.0791887)",NSW
